name,value,carbon_date,region
China,10773248000.0,2019,East and Southeast Asia
United States,5144361000.0,2019,North America
India,2314738000.0,2019,South Asia
Russia,1848070000.0,2019,Central Asia
Japan,1103234000.0,2019,East and Southeast Asia
Germany,726881000.0,2019,Europe
"Korea, South",686954000.0,2019,East and Southeast Asia
Iran,646038000.0,2019,Middle East
Canada,612084000.0,2019,North America
Saudi Arabia,579925000.0,2019,Middle East
Indonesia,563543000.0,2019,East and Southeast Asia
South Africa,470358000.0,2019,Africa
Mexico,463739000.0,2019,North America
Brazil,456670000.0,2019,South America
Australia,417870000.0,2019,Australia and Oceania
United Kingdom,398084000.0,2019,Europe
Turkey (Turkiye),391792000.0,2019,Middle East
France,338425000.0,2019,Europe
Italy,332041000.0,2019,Europe
Thailand,305273000.0,2019,East and Southeast Asia
Poland,304040000.0,2019,Europe
Spain,280624000.0,2019,Europe
Taiwan,279206000.0,2019,East and Southeast Asia
United Arab Emirates,276236000.0,2019,Middle East
Kazakhstan,263689000.0,2019,Central Asia
Malaysia,254764000.0,2019,East and Southeast Asia
Vietnam,249929000.0,2019,East and Southeast Asia
Singapore,238983000.0,2019,East and Southeast Asia
Egypt,235137000.0,2019,Africa
Netherlands,214416000.0,2019,Europe
Pakistan,193869000.0,2019,South Asia
Argentina,193205000.0,2019,South America
Ukraine,185686000.0,2019,Europe
Algeria,151633000.0,2019,Africa
Iraq,143479000.0,2019,Middle East
Philippines,142282000.0,2019,East and Southeast Asia
Belgium,128247000.0,2019,Europe
Qatar,111922000.0,2019,Middle East
Turkmenistan,109037000.0,2019,Central Asia
Nigeria,104494000.0,2019,Africa
Venezuela,103708000.0,2019,South America
Uzbekistan,102965000.0,2019,Central Asia
Czechia,99533000.0,2019,Europe
Bangladesh,96180000.0,2019,South Asia
Kuwait,92582000.0,2019,Middle East
Hong Kong,92493000.0,2019,East and Southeast Asia
Chile,88333000.0,2019,South America
Colombia,81007000.0,2019,South America
Oman,76321000.0,2019,Middle East
Greece,70163000.0,2019,Europe
Romania,68746000.0,2019,Europe
Austria,65540000.0,2019,Europe
Israel,61092000.0,2019,Middle East
Morocco,60200000.0,2019,Africa
Peru,54996000.0,2019,South America
Belarus,54695000.0,2019,Europe
Portugal,50370000.0,2019,Europe
Hungary,48589000.0,2019,Europe
Sweden,48144000.0,2019,Europe
Serbia,47735000.0,2019,Europe
Bahrain,43112000.0,2019,Middle East
Finland,41996000.0,2019,Europe
Laos,40726000.0,2019,East and Southeast Asia
New Zealand,40344000.0,2019,Australia and Oceania
Trinidad and Tobago,39652000.0,2019,Central America and the Caribbean
Switzerland,38739000.0,2019,Europe
Bulgaria,38373000.0,2019,Europe
Libya,38297000.0,2019,Africa
Norway,36731000.0,2019,Europe
Ecuador,36051000.0,2019,South America
Ireland,35475000.0,2019,Europe
Azerbaijan,35389000.0,2019,Middle East
Denmark,33850000.0,2019,Europe
Slovakia,32506000.0,2019,Europe
Burma,31848000.0,2019,East and Southeast Asia
